time,chl,nh4,no3,po4,thetao,so
2025-09-06,0.035694797,0.09328454,0.42146719,0.0056292196,26.67344,39.48616
2025-09-07,0.036213383,0.0920766,0.4244764,0.005680265,26.678688,39.49582
2025-09-08,0.037779696,0.090891,0.42226198,0.005664503,26.678667,39.511566
2025-09-09,0.039481316,0.08992922,0.41685456,0.005613533,26.538914,39.511803
2025-09-10,0.03766551,0.08959249,0.41969678,0.005675336,26.605825,39.52056
2025-09-11,0.034540832,0.0896846,0.42452252,0.005762084,26.7974,39.536118
2025-09-12,0.032501806,0.08987712,0.42332327,0.0057718777,27.040583,39.55041
2025-09-13,0.032009017,0.08986946,0.41904312,0.00574765,27.104862,39.558533
2025-09-14,0.032098625,0.08987408,0.41321507,0.005724369,27.13259,39.55371
2025-09-15,0.036011416,0.0891196,0.40499026,0.005730894,27.10785,39.547943
2025-09-16,0.04003335,0.08761859,0.3850463,0.0056990157,27.005882,39.549263
2025-09-17,0.037947938,0.08838126,0.3641626,0.0056372466,26.995373,39.55515
2025-09-18,0.03584299,0.08947997,0.35107717,0.005559711,26.71257,39.53656
2025-09-19,0.03458042,0.09000772,0.34937522,0.005576405,26.273443,39.503994
2025-09-20,0.032764196,0.09074654,0.35859388,0.00573195,26.452187,39.53811
2025-09-21,0.032284208,0.09121861,0.36829293,0.0058168243,26.630388,39.56806
2025-09-22,0.032132216,0.0911871,0.37568095,0.0058468534,27.018915,39.627823
2025-09-23,0.031740297,0.09104771,0.37885365,0.0058654076,27.236576,39.67611
2025-09-24,0.03157182,0.091144554,0.38069648,0.005876779,27.270763,39.685375
2025-09-25,0.03242284,0.09109015,0.38204175,0.0058747195,27.134977,39.682487
2025-09-26,0.033448275,0.09098012,0.38205948,0.005856682,27.161175,39.68551
2025-09-27,0.03354637,0.09112817,0.3816885,0.0058451425,27.146343,39.68348
2025-09-28,0.03270196,0.091414765,0.38134015,0.005846085,27.038448,39.68554
2025-09-29,0.032412823,0.091105506,0.37888902,0.005837518,27.028933,39.699795
2025-09-30,0.03358623,0.08991169,0.3731553,0.0057879,26.869305,39.703747
2025-10-01,0.033997763,0.08890948,0.36319536,0.005674179,26.52773,39.66739
2025-10-02,0.03105876,0.08806785,0.36590487,0.005741181,26.652767,39.709187
2025-10-03,0.027399056,0.08779551,0.36963248,0.0058008474,26.700066,39.723915
2025-10-04,0.0258073,0.087251306,0.37279475,0.0058291093,26.70203,39.715324
2025-10-05,0.026204217,0.08588004,0.37441316,0.005840565,26.760513,39.729626
2025-10-06,0.038369324,0.085171655,0.3637591,0.0056827175,26.716997,39.743225
