nh4,no3,po4,so,thetao,chl_t-1,nh4_t-1,no3_t-1,po4_t-1,so_t-1,thetao_t-1,chl_7day_avg,nh4_7day_avg,no3_7day_avg,po4_7day_avg,so_7day_avg,thetao_7day_avg,n_p_ratio,n_nh4_ratio,p_nh4_ratio,chl_monthly_median,chl_anomaly,bloom_proxy_label
0.08540311,0.36545795,0.0057081566,39.727848,26.57432,0.026143862,0.08635103,0.3771523,0.005878158,39.720997,26.659973,0.028769800971661295,0.08693908261401313,0.37212805237088886,0.005819941604776042,39.72336414882115,26.662436076572963,64.02381,4.2792115,0.06683781,0.033521706238389015,0.004694061353802681,0
0.0854031,0.36545578,0.0057081226,39.727848,26.574331,0.038215768,0.08540311,0.36545795,0.0057081566,39.727848,26.57432,0.030059256990041052,0.08661263329642159,0.3716213745730264,0.005808027261602027,39.724098205566406,26.644995553152903,64.02381,4.2791862,0.066837415,0.033688317984342575,0.0045275017619132996,0
0.08537446,0.36586887,0.005702197,39.743835,26.707863,0.02659148,0.08631271,0.37421292,0.005838051,39.7187,26.686228,0.028755229764751027,0.08708696493080684,0.3705904058047703,0.005793668063623565,39.717468806675505,26.65408570425851,64.16279,4.2854605,0.06679043,0.03242330439388752,0.005775758996605873,0
0.08537447,0.36586642,0.0057021594,39.743835,26.707874,0.038199063,0.08537446,0.36586887,0.005702197,39.743835,26.707863,0.03014668236885752,0.08670541005475181,0.3701703803879874,0.00578213802405766,39.72061811174665,26.659907749720983,64.16278,4.2854314,0.066789985,0.03242330439388752,0.005775837227702141,0
0.08530475,0.37027785,0.0057316464,39.756626,26.794193,0.027269104,0.086352326,0.37100154,0.005792095,39.71801,26.667658,0.029029258393815587,0.08734181204012462,0.36888360551425387,0.00576016353443265,39.7032721383231,26.572905676705496,64.602356,4.340647,0.06719024,0.03064768109470606,0.0071816956624388695,0
0.08530475,0.3702755,0.00573161,39.756622,26.794205,0.037829377,0.08530475,0.37027785,0.0057316464,39.756626,26.794193,0.03038980865052768,0.08687114396265574,0.3692951926163265,0.005757185630500317,39.71223340715681,26.612030301775253,64.602356,4.34062,0.06718981,0.03064768109470606,0.007181758992373943,0
0.08534502,0.36276302,0.0056827455,39.728523,26.58638,0.025910938,0.0861004,0.37741408,0.005881472,39.72483,26.694393,0.028419249824115207,0.08673410011189324,0.37222908650125774,0.005825410530503307,39.72808401925223,26.703904015677317,63.835873,4.250547,0.066585556,0.033609407022595406,0.004758553579449654,0
0.085345015,0.36276078,0.0056827106,39.728523,26.58639,0.03836796,0.08534502,0.36276302,0.0056827455,39.728523,26.58638,0.02983418452952589,0.08641538769006729,0.37128642201423645,0.005807947433952775,39.728311266217915,26.681847708565847,63.835873,4.250521,0.066585146,0.033932898193597794,0.004435122013092041,0
0.085187554,0.36174688,0.0056651942,39.743637,26.73301,0.026021915,0.08580572,0.3748871,0.005847801,39.73188,26.790403,0.027978905077491487,0.08663929360253471,0.37124681898525785,0.0058095382659563,39.73065512520926,26.754780088152206,63.854275,4.2464757,0.0665026,0.03256358951330185,0.005960356444120407,0
0.08518757,0.36174417,0.0056651537,39.743633,26.73302,0.038523946,0.085187554,0.36174688,0.0056651942,39.743637,26.73301,0.02961315666990621,0.08627972113234657,0.3700655315603529,0.005788640717842749,39.732217516217915,26.751937048775808,63.854256,4.2464433,0.06650212,0.03285888209939003,0.005665164440870285,0
0.08487616,0.36717087,0.0057107094,39.75838,26.843187,0.026252182,0.08554252,0.3736169,0.005826276,39.74134,26.858057,0.027775879417146956,0.0866059639624187,0.37103200384548735,0.005797818502677339,39.72641209193638,26.75073187691825,64.29514,4.32596,0.06728285,0.03092307783663273,0.007239772006869316,0
0.084876165,0.36716828,0.00571067,39.75838,26.843199,0.03816285,0.08487616,0.36717087,0.0057107094,39.75838,26.843187,0.02946936764887401,0.08615652897528239,0.3706925298486437,0.005785371775605849,39.7325325012207,26.774748393467494,64.295135,4.325929,0.06728237,0.03092307783663273,0.007239857688546181,0
0.0851251,0.35505953,0.00559868,39.737362,26.697287,0.025724407,0.08543721,0.37293124,0.00582606,39.732742,26.79986,0.027458546417100087,0.08627174475363322,0.37059358188084196,0.00580649430464421,39.73696681431362,26.80264527457101,63.418434,4.171032,0.06577002,0.03301830776035786,0.00604361854493618,0
0.08512513,0.35505643,0.005598635,39.7372,26.69689,0.039061926,0.0851251,0.35505953,0.00559868,39.737362,26.697287,0.02931950906557696,0.085962532886437,0.36825702445847647,0.005772692816598075,39.73618371146066,26.781164714268275,63.418392,4.1709943,0.06576947,0.0331865381449461,0.005875525996088982,0
0.084757075,0.36173818,0.0056625665,39.749664,26.7999,0.025720023,0.08513834,0.37408057,0.0058344733,39.744522,26.900942,0.02717361838689872,0.08612431372914996,0.3718006099973406,0.005814143589564732,39.740601675851,26.86106218610491,63.88237,4.267941,0.06680936,0.031798332929611206,0.00679503008723259,0
0.08475709,0.3617353,0.005662524,39.74966,26.799911,0.038593363,0.084757075,0.36173818,0.0056625665,39.749664,26.7999,0.029066029669983045,0.08574122722659792,0.37040082045963835,0.005790130102208683,39.74181965419224,26.852887834821427,63.882343,4.267906,0.06680886,0.03180564567446709,0.00678783655166626,0
